gender,cat1,buy_mount
0,28,112
0,38,94
0,50008168,154
0,50014815,303
0,50022520,14
0,122650008,23
1,28,81
1,38,37
1,50008168,158
1,50014815,87
1,50022520,14
1,122650008,19
